"Variant id","Variant title",SKU,Barcode,"Product id","Product title","Product link",Vendor,Price,"Compare at price","Inventory Item ID","Cost per item","Variant Inventory Qty",Published
40114069667888,"Tshirt - Unisex S",CLUBMTN_SM,,7081393797,"Picky Club Exclusive Tee",https:///products/club-exclusive-shirt,"Picky Bars",0.00,"0.00 ",42209499512880,,-135,active
40114069700656,"Tshirt - Unisex M",CLUBMTN_M,,7081393797,"Picky Club Exclusive Tee",https:///products/club-exclusive-shirt,"Picky Bars",0.00,"0.00 ",42209499545648,,-157,active
32355204825136,"Tshirt - Unisex L",CLUBMTN_L,,7081393797,"Picky Club Exclusive Tee",https:///products/club-exclusive-shirt,"Picky Bars",0.00,"0.00 ",33984668336176,,-878,active
32355204890672,"Tshirt - Unisex XL",CLUBMTN_XL,,7081393797,"Picky Club Exclusive Tee",https:///products/club-exclusive-shirt,"Picky Bars",0.00,"0.00 ",33984668401712,,-378,active
39974045351984,"Mountains- Women's XL *retiring style*",CLUBMTN_WXXL,,7081393797,"Picky Club Exclusive Tee",https:///products/club-exclusive-shirt,"Picky Bars",0.00,"0.00 ",42069429878832,,-41,active
32384982122544,"Mountains - Women's XXL *retiring style*",CLUBMTN_WXXL,,7081393797,"Picky Club Exclusive Tee",https:///products/club-exclusive-shirt,"Picky Bars",0.00,"0.00 ",34014446223408,,-166,active
24861980421,,PBSCHWAG_LOWPRO,,7081393925,"Low Pro Three Sisters Hat",https:///products/low-pro-three-sisters-hat,"Picky Bars",19.99,"19.99 ",13370370565,,0,active
24861980869,,COMPETEJOURNAL,9781937715618,7081394117,"Compete Training Journal",https:///products/compete-training-journal,"Picky Bars",21.95,"21.95 ",13370371013,,0,active
30309781962800,Red,"BELIEVE LOGBOOK-RED",9781948007092,7081394373,"Believe Logbook",https:///products/believe-logbook,"Picky Bars",18.00,"18.00 ",31703175233584,,0,active
30309781930032,Grey,"BELIEVE LOGBOOK-GREY",9781937715625,7081394373,"Believe Logbook",https:///products/believe-logbook,"Picky Bars",18.00,"18.00 ",31703175200816,,0,active
24861985349,,PBSCHWAG_SQUATCH,,7081394565,"Sasquatch Beanie",https:///products/sasquatch-beanie,"Picky Bars",29.99,"29.99 ",13370375493,,0,active
24861985605,,WILDERNOTEBOOK,9780692762790,7081394693,"Wilder Notebook",https:///products/wilder-notebook,"Picky Bars",11.90,"17.00 ",13370375749,,-1,active
25045332037,"Single bar",CH01,853982004357,7105748805,"Chai and Catch Me",https:///products/chai-and-catch-me,"Almonds, Ginger & Cardamom",2.79,"2.79 ",13521532293,,-3894,active
25045332101,"10 Bars",CH10,853982004364,7105748805,"Chai and Catch Me",https:///products/chai-and-catch-me,"Almonds, Ginger & Cardamom",27.90,"27.90 ",13521532357,,-126,active
31570803845,"Picky Club (10% off)",CH01_PC10,,7105748805,"Chai and Catch Me",https:///products/chai-and-catch-me,"Almonds, Ginger & Cardamom",2.51,"2.51 ",19697374405,,-41145,active
31570822597,"Picky Club (20% off)",CH01_PC20,,7105748805,"Chai and Catch Me",https:///products/chai-and-catch-me,"Almonds, Ginger & Cardamom",2.23,"2.23 ",19697391365,,-54035,active
31570826821,"Picky Club (30% off)",CH01_PC30,,7105748805,"Chai and Catch Me",https:///products/chai-and-catch-me,"Almonds, Ginger & Cardamom",1.95,"1.95 ",19697397253,,-149073,active
26155649541,,PB05,,7289284869,"20 Bar Mix Pack",https:///products/20-bar-mix-pack-energy-bars,"Picky Bars",50.00,"55.80 ",14536984069,,-1085,active
31543742405,,PBSCHWAG_MP,,8148617541,"Mid-Packer Trucker Hat",https:///products/mid-packer-trucker-hat,"Picky Bars",14.99,"14.99 ",19670750597,,0,active
33023389061,"Single bar",AFN01,853982004265,8295799173,"Ah, Fudge Nuts!",https:///products/ah-fudge-nuts-2,"Chocolate & Peanut Butter",2.75,"2.75 ",21106885189,,-2660,active
33023389125,"Carton (10 bars)",AFN10,853982004272,8295799173,"Ah, Fudge Nuts!",https:///products/ah-fudge-nuts-2,"Chocolate & Peanut Butter",27.50,"27.50 ",21106885253,,-1958,active
